"model","vin","price_july_22","price_aug_2","difference"
"CR-V EX-L","7FARW2H80KE008250",29999.0,28499.0,-1500.0
"Trax LT","3GNCJLSB1KL386256",20198.0,19136.0,-1062.0
"EcoSport SE","MAJ3P1TE2JC160487",20000.0,19000.0,-1000.0
"Legacy Premium","4S3BWAF66M3011534",28747.0,27999.0,-748.0
"Escape SE","1FMCU9GD9KUB91391",26455.0,25955.0,-500.0
"Escape SE","1FMCU9GD9KUB55524",27455.0,26955.0,-500.0
"Equinox 1LT","2GNAXUEV2K6244035",23988.0,23488.0,-500.0
"RAV4 Limited","2T3DFREV2HW558917",27997.0,27497.0,-500.0
"Explorer Limited","1FM5K8F84HGC68480",28998.0,28499.0,-499.0
"Grand Cherokee Limited","1C4RJFBG8JC191328",28726.0,28229.0,-497.0
"Acadia Limited Limited","1GKKVSKD1HJ231571",27688.0,27288.0,-400.0
"Tiguan 2.0T SEL","3VV2B7AX5JM213260",27000.0,26630.0,-370.0
"Edge SEL","2FMPK3J94LBA28731",24197.0,23888.0,-309.0
"X2 xDrive28i","WBXYJ5C37JEF70297",29599.0,29299.0,-300.0
"Tiguan 2.0T SE","3VV2B7AX0JM129878",28975.0,28675.0,-300.0
"Traverse LTZ","1GNKVJKD1FJ269764",20680.0,20390.0,-290.0
"CX-5 Grand Touring","JM3KE4DY8G0827733",21199.0,20999.0,-200.0
"Camry LE","4T1C11AK3MU561111",28990.0,28795.0,-195.0
"Escape SE","1FMCU0GD1KUA64873",22399.0,22299.0,-100.0
"Grand Cherokee Limited","1C4RJFBG9FC141979",24999.0,24899.0,-100.0
"Sportage LX","KNDPMCACXK7605845",22992.0,22897.0,-95.0
"Camry LE","4T1C11AK7LU346202",27990.0,27895.0,-95.0
"Explorer Limited","1FM5K8F80FGB75226",24447.0,24366.0,-81.0
"Tiguan 2.0T SE","3VV2B7AX1KM195891",27997.0,27924.0,-73.0
"CX-5 Grand Touring","JM3KE4DYXG0770399",23217.0,23207.0,-10.0
"CR-V EX-L","5J6RM4H72EL104137",23000.0,22995.0,-5.0
"CR-V EX","7FARW2H51KE031963",29001.0,28998.0,-3.0
"Acadia Limited Limited","1GKKVSKD6HJ263898",24997.0,24997.0,0.0
"Escape SE","1FMCU9G66LUB23326",29995.0,29995.0,0.0
