"vin","year","make","model","used_or_new","price","sellertype","sellername","zipcode","dealtype","drivetrain","transmission","engine","mileage","difference","percentage_of_difference"
"3VV2B7AX5JM178770",2018,"Volkswagen","Tiguan 2.0T SE","Volkswagen Certified",30995.00,"Dealer","Luther Brookdale Volkswagen",55429,"Good","All-wheel Drive","8-Speed Automatic","2.0L I4 16V GDI DOHC Turbo",15248,-2020.00,-6.5
"1C4RJFBG0JC478758",2018,"Jeep","Grand Cherokee Limited","Used",34997.00,"Dealer","Luther Cadillac",55113,"Great","Four-wheel Drive","8-Speed Automatic","3.6L V6 24V MPFI DOHC",37070,-2000.00,-5.7
"5UXTR9C58KLD99208",2019,"BMW","X3 xDrive30i","Used",39515.00,"Dealer","Audi Minneapolis",55426,"Good","All-wheel Drive","8-Speed Automatic","2.0L I4 16V GDI DOHC Turbo",41439,-1919.00,-4.9
"3GNAXKEV7LL319670",2020,"Chevrolet","Equinox 1LT","Chevrolet Certified",25983.00,"Dealer","Jeff Belzer's Lakeville",55044,"Good","Front-wheel Drive","6-Speed Automatic","1.5L I4 16V GDI DOHC Turbo",22513,-1206.00,-4.6
"2GNAXUEV2K6244035",2019,"Chevrolet","Equinox 1LT","Used",23988.00,"Dealer","Bedrock Motors",55434,"Fair","All-wheel Drive","6-Speed Automatic","1.5L I4 16V GDI DOHC Turbo",84131,-1000.00,-4.2
"5UXTR9C5XKLR10575",2019,"BMW","X3 xDrive30i","Used",40980.00,"Dealer","BMW of Minnetonka",55391,"Good","All-wheel Drive","8-Speed Automatic","2.0L I4 16V GDI DOHC Turbo",38098,-1500.00,-3.7
"1FMCU0GD2KUA79902",2019,"Ford","Escape SE","Used",23889.00,"Dealer","Cornerstone Kia",55330,"Good","Front-wheel Drive","6-Speed Automatic","1.5L I4 16V GDI DOHC Turbo",41343,-889.00,-3.7
"3VV2B7AX2LM086146",2020,"Volkswagen","Tiguan 2.0T SE","Volkswagen Certified",32995.00,"Dealer","Luther Brookdale Volkswagen",55429,"Good","All-wheel Drive","8-Speed Automatic","2.0L I4 16V GDI DOHC Turbo",17544,-1020.00,-3.1
"1FMCU9J99KUA27451",2019,"Ford","Escape Titanium","Used",31990.00,"Dealer","Granite City Motor Car",56302,"Good","Four-wheel Drive","6-Speed Automatic","2.0L I4 16V GDI DOHC Turbo",28962,-1000.00,-3.1
"JM3KFBDM7L0844743",2020,"Mazda","CX-5 Grand Touring","Used",33875.00,"Dealer","Luther Westside VW",55416,"Good","All-wheel Drive","6-Speed Automatic","2.5L I4 16V GDI DOHC",13887,-1000.00,-3.0
"2T3P1RFVXKW074141",2019,"Toyota","RAV4 XLE","Used",34988.00,"Dealer","Bedrock Motors",55434,"Good","All-wheel Drive","8-Speed Automatic","2.5L I4 16V PDI DOHC",29216,-1000.00,-2.9
"1C4RJFBG8JC191328",2018,"Jeep","Grand Cherokee Limited","Used",28726.00,"Dealer","Audi Minneapolis",55426,"Good","Four-wheel Drive","8-Speed Automatic","3.6L V6 24V MPFI DOHC",92161,-778.00,-2.7
"1C6SRFJT5MN773900",2021,"RAM","1500 Laramie","RAM Certified",50775.00,"Dealer","Jeff Belzer's Lakeville",55044,"Great","Four-wheel Drive","8-Speed Automatic","5.7L V8 16V MPFI OHV",24141,-1279.00,-2.5
"1C4RJFBG7KC737053",2019,"Jeep","Grand Cherokee Limited","Used",37855.00,"Dealer","Park Chrysler Jeep",55337,"Great","Four-wheel Drive","8-Speed Automatic","3.6L V6 24V MPFI DOHC",17099,-900.00,-2.4
"JM3TCBCY3K0325317",2019,"Mazda","CX-9 Touring","Used",32799.00,"Dealer","Walser Mazda",55306,"Great","All-wheel Drive","Automatic","Intercooled Turbo Regular Unleaded I-4 2.5 L/152",28220,-801.00,-2.4
"5TDGZRBH1LS013773",2020,"Toyota","Highlander XLE","Used",43998.00,"Dealer","Walser Subaru",55306,"Good","All-wheel Drive","Automatic","Regular Unleaded V-6 3.5 L/211",26506,-1000.00,-2.3
"1FMCU9GD8JUB91526",2018,"Ford","Escape SE","Used",22899.00,"Dealer","Cornerstone Ford Chrysler",55330,"Good","Four-wheel Drive","6-Speed Automatic","1.5L I4 16V GDI DOHC Turbo",58978,-500.00,-2.2
"5J6RW2H86LL011139",2020,"Honda","CR-V EX-L","Used",33500.00,"Dealer","Luther St. Cloud Honda",56387,"Good","All-wheel Drive","Automatic CVT","1.5L I4 16V GDI DOHC Turbo",40838,-750.00,-2.2
"1V2TR2CA5MC535976",2021,"Volkswagen","Atlas 3.6 V6 SEL Premium","Volkswagen Certified",51000.00,"Dealer","Luther Brookdale Volkswagen",55429,"Good","All-wheel Drive","8-Speed Automatic","3.6L V6 24V GDI DOHC",17513,-1015.00,-2.0
"5UXTS3C58K0Z02672",2019,"BMW","X3 M40i","BMW Certified",50998.00,"Dealer","Luther Park Place BMW",55901,"Good","All-wheel Drive","8-Speed Automatic","3.0L I6 24V GDI DOHC Turbo",13081,-1000.00,-2.0
"3GNAXUEV9LL239783",2020,"Chevrolet","Equinox 1LT","Chevrolet Certified",25990.00,"Dealer","Marthaler Chevrolet of Glenwood",56334,"Great","All-wheel Drive","6-Speed Automatic","1.5L I4 16V GDI DOHC Turbo",35546,-500.00,-1.9
"1C6SRFJT8MN730555",2021,"RAM","1500 Laramie","Used",51999.00,"Dealer","Fury Motors Saint Paul",55075,"Good","Four-wheel Drive","8-Speed Automatic","5.7L V8 16V MPFI OHV",27300,-1000.00,-1.9
"5LM5J7XC0LGL22623",2020,"Lincoln","Aviator Reserve AWD","Used",54995.00,"Dealer","Friendly Chevrolet of Fridley",55432,"Great","All-wheel Drive","10-Speed Automatic","3.0L V6 24V GDI DOHC Twin Turbo",24226,-1000.00,-1.8
"3VV2B7AXXLM037986",2020,"Volkswagen","Tiguan 2.0T SE","Volkswagen Certified",31000.00,"Dealer","Luther Brookdale Volkswagen",55429,"Good","All-wheel Drive","8-Speed Automatic","2.0L I4 16V GDI DOHC Turbo",30258,-515.00,-1.7
"2GNAXYEX2L6191685",2020,"Chevrolet","Equinox Premier w/2LZ","Chevrolet Certified",33997.00,"Dealer","Stillwater Motors",55082,"Good","All-wheel Drive","9-Speed Automatic","2.0L I4 16V GDI DOHC Turbo",27661,-591.00,-1.7
"5XYP5DHC2NG276851",2022,"Kia","Telluride SX","Used",63988.00,"Dealer","Barnett Chrysler Jeep Kia",55110,"Good","All-wheel Drive","8-Speed Automatic","3.8L V6 24V GDI DOHC",2518,-1000.00,-1.6
"5LM5J7XC9LGL33376",2020,"Lincoln","Aviator Reserve AWD","Used",67980.00,"Dealer","Link Ford Lincoln and RV",54868,"Good","All-wheel Drive","10-Speed Automatic","3.0L V6 24V GDI DOHC Twin Turbo",18817,-1000.00,-1.5
"KMUMCDTCXNU040735",2022,"Genesis","GV70 3.5T Sport","Used",71498.00,"Dealer","Luther Bloomington Hyundai",55437,"Good","All-wheel Drive","8-Speed Automatic","3.5L V6 24V PDI DOHC Twin Turbo",12190,-1008.00,-1.4
"1C4RJFBG9LC111120",2020,"Jeep","Grand Cherokee Limited","Used",38991.00,"Dealer","Bloomington Chrysler Jeep Dodge RAM",55431,"Good","Four-wheel Drive","Automatic","Regular Unleaded V-6 3.6 L/220",31437,-500.00,-1.3
"5J6RW2H53KL033412",2019,"Honda","CR-V EX","Used",30795.00,"Dealer","Luther Hopkins Honda ",55343,"Good","All-wheel Drive","Automatic CVT","1.5L I4 16V GDI DOHC Turbo",40077,-400.00,-1.3
"1C4RJFBG9FC141979",2015,"Jeep","Grand Cherokee Limited","Used",24999.00,"Dealer","Bedrock Motors",55374,"Great","Four-wheel Drive","8-Speed Automatic","3.6L V6 24V MPFI DOHC",65899,-300.00,-1.2
"JM3KFBDM4J0325470",2018,"Mazda","CX-5 Grand Touring","Used",26721.00,"Dealer","Ryan Auto Mall GM",55313,"Good","All-wheel Drive","6-Speed Automatic","2.5L I4 16V",57568,-252.00,-0.9
"KMUMCDTC3NU012792",2022,"Genesis","GV70 3.5T Sport","Used",66498.00,"Dealer","Buerkle Hyundai",55110,"Good","All-wheel Drive","8-Speed Automatic","3.5L V6 24V PDI DOHC Twin Turbo",13335,-504.00,-0.8
"1FM5K8F80FGB75226",2015,"Ford","Explorer Limited","Used",24447.00,"Dealer","Lupient Buick GMC",55426,"Good","Four-wheel Drive","6-Speed Automatic","3.5L V6 24V MPFI DOHC Flexible Fuel",71262,-197.00,-0.8
"4T1C11AK2LU509984",2020,"Toyota","Camry LE","Toyota Certified",27990.00,"Dealer","Rudy Luther Toyota",55426,"Good","Front-wheel Drive","8-Speed Automatic","2.5L I4 16V PDI DOHC",45129,-195.00,-0.7
"1C4RJFBG0MC639470",2021,"Jeep","Grand Cherokee Limited","Jeep Certified",45949.00,"Dealer","Brookdale Chrysler Jeep Dodge RAM",55445,"Good","Four-wheel Drive","8-Speed Automatic","3.6L V6 24V MPFI DOHC",19984,-262.00,-0.6
"JM3KFBDMXK0678202",2019,"Mazda","CX-5 Grand Touring","Used",31599.00,"Dealer","Rochester Mazda",55901,"Good","All-wheel Drive","6-Speed Automatic","2.5L I4 16V GDI DOHC",29750,-200.00,-0.6
"5GAEVAKW0KJ126548",2019,"Buick","Enclave Essence","Used",34999.00,"Dealer","Apple Ford Lincoln Apple Valley",55124,"Great","All-wheel Drive","9-Speed Automatic","3.6L V6 24V GDI DOHC",54069,-200.00,-0.6
"5FNRL6H7XKB126051",2019,"Honda","Odyssey EX-L","Used",38998.00,"Dealer","Walser Honda",55306,"Good","Front-wheel Drive","Automatic","Regular Unleaded V-6 3.5 L/212",29022,-199.00,-0.5
"5GAEVAKW3KJ263077",2019,"Buick","Enclave Essence","Used",33985.00,"Dealer","Apple Chevrolet Buick of Northfield",55057,"Great","All-wheel Drive","9-Speed Automatic","3.6L V6 24V GDI DOHC",59723,-186.00,-0.5
"1GKS2BKC0LR212035",2020,"GMC","Yukon SLT","Used",46999.00,"Dealer","Cornerstone Chevrolet",55362,"Great","Four-wheel Drive","6-Speed Automatic","5.3L V8 16V GDI OHV",58981,-200.00,-0.4
"1GKS2BKC8LR273259",2020,"GMC","Yukon SLT","Used",46999.00,"Dealer","Cornerstone Chevrolet",55362,"Great","Four-wheel Drive","6-Speed Automatic","5.3L V8 16V GDI OHV",58941,-200.00,-0.4
"4T1C11AK7LU346202",2020,"Toyota","Camry LE","Toyota Certified",27990.00,"Dealer","Rudy Luther Toyota",55426,"Good","Front-wheel Drive","8-Speed Automatic","2.5L I4 16V PDI DOHC",37893,-95.00,-0.3
"1C6SRFJT4LN367797",2020,"RAM","1500 Laramie","Used",47998.00,"Dealer","Walser Chrysler Jeep Dodge RAM",55343,"Good","Four-wheel Drive","Automatic","Regular Unleaded V-8 5.7 L/345",13280,-99.00,-0.2
