"make","mileage","model","vin","price_july_22","price_aug_11","percentage_of_difference"
"Honda",25652,"CR-V EX","7FARW2H59KE012805",29995.0,28495.0,-5.0
"GMC",26938,"Acadia Denali","1GKKNXLS7KZ151341",40998.0,38998.0,-4.9
"BMW",41439,"X3 xDrive30i","5UXTR9C58KLD99208",39515.0,37596.0,-4.9
"Volkswagen",15248,"Tiguan 2.0T SE","3VV2B7AX5JM178770",30995.0,29485.0,-4.9
"Honda",26033,"CR-V EX-L","2HKRW2H8XLH643085",33995.0,32495.0,-4.4
"GMC",63858,"Yukon SLT","1GKS2BKC7LR255013",46998.0,44998.0,-4.3
"Audi",29793,"Q5 2.0T Premium Plus","WA1BNAFY0K2034292",41331.0,39677.0,-4.0
"Mazda",22800,"CX-9 Touring","JM3TCBCY3L0410434",35299.0,33998.0,-3.7
"BMW",38098,"X3 xDrive30i","5UXTR9C5XKLR10575",40980.0,39480.0,-3.7
"Toyota",85461,"RAV4 Limited","2T3DFREV2HW558917",27997.0,26997.0,-3.6
"Audi",31278,"Q5 2.0T Premium Plus","WA1BNAFY3K2021150",41500.0,39999.0,-3.6
"Ford",17294,"Escape SE","1FMCU9GD9KUB55524",27455.0,26455.0,-3.6
"BMW",18997,"330 i xDrive","WBA5R7C56KAJ84205",41380.0,39980.0,-3.4
"Toyota",26514,"RAV4 XLE","2T3P1RFVXKW083728",35585.0,34385.0,-3.4
"Honda",36022,"CR-V EX","5J6RW2H57KL027726",30495.0,29495.0,-3.3
"Volkswagen",17544,"Tiguan 2.0T SE","3VV2B7AX2LM086146",32995.0,31975.0,-3.1
"Ford",28962,"Escape Titanium","1FMCU9J99KUA27451",31990.0,30990.0,-3.1
"Mazda",13887,"CX-5 Grand Touring","JM3KFBDM7L0844743",33875.0,32875.0,-3.0
"Jeep",37070,"Grand Cherokee Limited","1C4RJFBG0JC478758",34997.0,33997.0,-2.9
"Toyota",29216,"RAV4 XLE","2T3P1RFVXKW074141",34988.0,33988.0,-2.9
"Mercedes-Benz",79299,"GLE 350 Base 4MATIC","4JGDA5HB4JB091678",35995.0,34995.0,-2.8
"Jeep",92161,"Grand Cherokee Limited","1C4RJFBG8JC191328",28726.0,27948.0,-2.7
"INFINITI",27816,"QX60 Luxe","5N1DL0MM1KC519187",37990.0,36990.0,-2.6
"Ford",25778,"Edge SEL","2FMPK4J92KBB31408",31355.0,30555.0,-2.6
"Chevrolet",53720,"Equinox LT","2GNFLFEK0H6289938",19995.0,19495.0,-2.5
"Ford",42144,"Focus SE","1FADP3K24GL297480",16399.0,15998.0,-2.4
"Ford",20283,"Escape SE","1FMCU9GD0KUC04609",25613.0,24995.0,-2.4
"Jeep",17099,"Grand Cherokee Limited","1C4RJFBG7KC737053",37855.0,36955.0,-2.4
"Mazda",28220,"CX-9 Touring","JM3TCBCY3K0325317",32799.0,31998.0,-2.4
"Chevrolet",82642,"Equinox 1LT","3GNAXUEV3KL200296",22000.0,21500.0,-2.3
"GMC",18144,"Acadia Denali","1GKKNXLS7KZ290434",42995.0,41995.0,-2.3
"Ford",15611,"Edge SEL","2FMPK4J96LBB56197",34985.0,34186.0,-2.3
"Honda",40838,"CR-V EX-L","5J6RW2H86LL011139",33500.0,32750.0,-2.2
"Honda",30308,"CR-V EX-L","2HKRW2H81LH686424",34000.0,33250.0,-2.2
"Toyota",21235,"Tundra SR5","5TFDY5F17LX919562",47495.0,46485.0,-2.1
"Volkswagen",17513,"Atlas 3.6 V6 SEL Premium","1V2TR2CA5MC535976",51000.0,49985.0,-2.0
"BMW",13081,"X3 M40i","5UXTS3C58K0Z02672",50998.0,49998.0,-2.0
"Lexus",10249,"RX 350 350","2T2BZMCA4KC199438",48599.0,47699.0,-1.9
"RAM",27300,"1500 Laramie","1C6SRFJT8MN730555",51999.0,50999.0,-1.9
"Chevrolet",35546,"Equinox 1LT","3GNAXUEV9LL239783",25990.0,25490.0,-1.9
"Lincoln",24226,"Aviator Reserve AWD","5LM5J7XC0LGL22623",54995.0,53995.0,-1.8
"Volkswagen",30258,"Tiguan 2.0T SE","3VV2B7AXXLM037986",31000.0,30485.0,-1.7
"Audi",49873,"Q5 2.0T Premium Plus","WA1BNAFY6K2029212",38997.0,38325.0,-1.7
"Ford",41343,"Escape SE","1FMCU0GD2KUA79902",23889.0,23500.0,-1.6
"Subaru",29756,"Forester Limited","JF2SKAUC0KH549765",32500.0,31999.0,-1.5
"Jeep",12847,"Grand Cherokee Limited","1C4RJFBGXMC507798",47219.0,46493.0,-1.5
"Lincoln",18817,"Aviator Reserve AWD","5LM5J7XC9LGL33376",67980.0,66980.0,-1.5
"Honda",25148,"CR-V EX-L","2HKRW2H83LH681211",35299.0,34799.0,-1.4
"Genesis",12190,"GV70 3.5T Sport","KMUMCDTCXNU040735",71498.0,70490.0,-1.4
"Audi",16499,"Q5 2.0T Premium Plus","WA1BNAFY9K2087671",43949.0,43348.0,-1.4
"GMC",24238,"Acadia Denali","1GKKNXLS2KZ130784",40480.0,39960.0,-1.3
"Honda",40077,"CR-V EX","5J6RW2H53KL033412",30795.0,30395.0,-1.3
"GMC",64162,"Yukon SLT","1GKS2BKC0LR188996",46599.0,45998.0,-1.3
"BMW",28189,"330 i xDrive","3MW5R7J51K8A26501",39469.0,38950.0,-1.3
"Toyota",22740,"RAV4 XLE","2T3P1RFVXKC028889",34794.0,34325.0,-1.3
"Toyota",31726,"RAV4 XLE","JTMP1RFV1KJ012416",34895.0,34475.0,-1.2
"Ford",35940,"Escape S","1FMCU0F79HUD85113",19499.0,19299.0,-1.0
"Ford",58978,"Escape SE","1FMCU9GD8JUB91526",22899.0,22699.0,-0.9
"Volkswagen",30083,"Tiguan 2.0T SE","3VV2B7AX1KM195891",27997.0,27750.0,-0.9
"Mazda",57568,"CX-5 Grand Touring","JM3KFBDM4J0325470",26721.0,26469.0,-0.9
"Jeep",65899,"Grand Cherokee Limited","1C4RJFBG9FC141979",24999.0,24799.0,-0.8
"Ford",71262,"Explorer Limited","1FM5K8F80FGB75226",24447.0,24250.0,-0.8
"Jeep",31437,"Grand Cherokee Limited","1C4RJFBG9LC111120",38991.0,38691.0,-0.8
"Genesis",13335,"GV70 3.5T Sport","KMUMCDTC3NU012792",66498.0,65994.0,-0.8
"Ford",46517,"F-150 XLT","1FTFW1E5XLKF27037",43995.0,43695.0,-0.7
"RAM",10982,"1500 Laramie","1C6SRFDT6LN169797",43995.0,43750.0,-0.6
"Jeep",19984,"Grand Cherokee Limited","1C4RJFBG0MC639470",45949.0,45687.0,-0.6
"BMW",49676,"330 i xDrive","3MW5R7J54K8A26492",34790.0,34590.0,-0.6
"Buick",54069,"Enclave Essence","5GAEVAKW0KJ126548",34999.0,34799.0,-0.6
"RAM",36179,"1500 Laramie","1C6SRFJT5MN566035",55500.0,55250.0,-0.5
"INFINITI",37874,"QX60 Luxe","5N1DL0MM8KC530557",36999.0,36799.0,-0.5
"Buick",59723,"Enclave Essence","5GAEVAKW3KJ263077",33985.0,33799.0,-0.5
"BMW",11227,"X5 xDrive40i","5UXCR6C55KLL60720",58242.0,57994.0,-0.4
"GMC",58941,"Yukon SLT","1GKS2BKC8LR273259",46999.0,46799.0,-0.4
"BMW",13445,"X5 xDrive40i","5UXCR6C53KLK84026",56699.0,56499.0,-0.4
"GMC",58981,"Yukon SLT","1GKS2BKC0LR212035",46999.0,46799.0,-0.4
"Mazda",29750,"CX-5 Grand Touring","JM3KFBDMXK0678202",31599.0,31499.0,-0.3
"Lexus",37317,"RX 350 Base","2T2BZMCA2KC176207",44998.0,44899.0,-0.2
"RAM",13280,"1500 Laramie","1C6SRFJT4LN367797",47998.0,47899.0,-0.2
"Ford",15585,"F-150 XLT","1FTEW1EP9LKF03664",43990.0,43887.0,-0.2
"Mazda",62935,"CX-5 Grand Touring","JM3KE4DYXG0770399",23217.0,23197.0,-0.1
"Honda",75988,"Civic Sport","2HGFC2F84KH509793",18952.0,18952.0,0.0
"Ford",18736,"F-150 King Ranch","1FTEW1E47LFB79516",59990.0,59990.0,0.0
