Year,Make,Model,used_or_new,Price,ConsumerRating,ConsumerReviews,SellerType,SellerName,SellerRating,SellerReviews,StreetName,State,Zipcode,DealType,ComfortRating,InteriorDesignRating,PerformanceRating,ValueForMoneyRating,ExteriorStylingRating,ReliabilityRating,Drivetrain,MinMPG,MaxMPG,FuelType,Transmission,Engine,VIN,Stock,Mileage
2019,BMW,X7 xDrive40i,Used,"$70,200 ",4.1,22,Dealer,Motorwerks BMW,4.7,1669,1300 American Boulevard West Bloomington,MN,55420,Fair,4.5,4.6,4,3.4,4.5,3.5,All-wheel Drive,20,25,Gasoline,8-Speed Automatic,3.0L I6 24V GDI DOHC Turbo,5UXCW2C53KL088718,BN02564T,31507
2019,BMW,X5 xDrive40i,Used,"$54,670 ",4.7,55,Dealer,Motorwerks BMW,4.7,1669,1300 American Boulevard West Bloomington,MN,55420,Fair,5,4.9,4.9,4.4,4.7,4.6,All-wheel Drive,20,26,Gasoline,8-Speed Automatic,3.0L I6 24V GDI DOHC Turbo,5UXCR6C50KLL10954,BN09189T,32415
2016,Audi,A6 3.0T Prestige,Used,"$30,725 ",4.8,45,Dealer,Motorwerks BMW,4.7,1669,1300 American Boulevard West Bloomington,MN,55420,Good,4.9,4.9,4.8,4.6,4.8,4.8,All-wheel Drive,20,29,Gasoline,8-Speed Automatic,3.0L V6 24V GDI DOHC Supercharged,WAUHGAFCXGN021499,BK47820U,48498
2019,Audi,Q5 2.0T Premium Plus,Used,"$43,949 ",4.7,42,Dealer,Audi Richfield,4.1,8,1401 E 77th St Richfield,MN,55423,Good,4.8,4.6,4.7,4.5,4.7,4.7,All-wheel Drive,22,27,Gasoline,7-Speed Automatic with Auto-Shift,2.0L I4 16V GDI DOHC Turbo,WA1BNAFY9K2087671,K2087671,16499
2020,Subaru,Ascent Touring 7-Passenger,Used,"$41,989 ",4.8,83,Dealer,Luther Bloomington Subaru,4.7,5148,7801 Lyndale Ave S Bloomington,MN,55420,Good,4.8,4.8,4.8,4.7,4.9,4.8,All-wheel Drive,20,26,Gasoline,Automatic CVT,2.4L H4 16V GDI DOHC Turbo,4S4WMARD9L3432840,62077A,27103
2017,GMC,Acadia Limited Limited,Used,"$27,998 ",4.7,61,Dealer,Walser Buick GMC Bloomington,4.6,399,4601 American Blvd West Bloomington,MN,55437,Fair,4.9,4.8,4.7,4.5,4.8,4.7,All-wheel Drive,15,22,Gasoline,Automatic,Gas V6 3.6L/217,1GKKVSKD5HJ149455,4AK611T,78193
2022,Mercedes-Benz,GLB 250 Base 4MATIC,Used,"$48,405 ",4.9,4,Dealer,Feldmann Imports,4.8,630,4901 American Blvd W Bloomington,MN,55437,Great,4.8,5,4.8,4.8,4.8,5,All-wheel Drive,23,31,Gasoline,8-Speed Automatic with Auto-Shift,2.0L I4 16V GDI DOHC Turbo,W1N4M4HBXNW187487,B2432,4402
2012,INFINITI,G37x Base,Used,"$15,763 ",4.7,9,Dealer,Luther Bloomington Hyundai,4.7,5557,4801 American Blvd W Bloomington,MN,55437,Good,4.6,4.2,5,4.9,4.9,4.7,All-wheel Drive,18,25,Gasoline,7-Speed Automatic,3.7L V6 24V MPFI DOHC,JN1CV6AR5CM975544,2398A,98047
2020,Hyundai,Tucson Ultimate,Used,"$34,000 ",4.7,171,Dealer,Luther Bloomington Hyundai,4.7,5557,4801 American Blvd W Bloomington,MN,55437,Good,4.8,4.8,4.7,4.7,4.8,4.8,All-wheel Drive,21,26,Gasoline,6-Speed Automatic,2.4L I4 16V GDI DOHC,KM8J3CALXLU223984,P9992,12933
2021,GMC,Yukon Denali,Used,"$87,998 ",4,24,Dealer,Walser Buick GMC Bloomington,4.6,399,4601 American Blvd West Bloomington,MN,55437,Fair,4.3,4.5,4.2,3.4,4.7,3.5,Four-wheel Drive,14,19,Gasoline,Automatic,Gas V8 6.2L/,1GKS2DKLXMR227560,14BX151P,24563
2018,Mercedes-Benz,GLC 300 Base 4MATIC,Used,"$36,408 ",4.7,126,Dealer,Feldmann Imports,4.8,630,4901 American Blvd W Bloomington,MN,55437,Fair,4.8,4.7,4.6,4.5,4.8,4.6,All-wheel Drive,21,28,Gasoline,9-Speed Automatic,2.0L I4 16V GDI DOHC Turbo,WDC0G4KB0JV055001,P14878A,37947
2019,Mercedes-Benz,C-Class C 300 4MATIC,Used,"$34,333 ",4.8,40,Dealer,Feldmann Imports,4.8,630,4901 American Blvd W Bloomington,MN,55437,Good,4.8,4.8,4.8,4.5,4.8,4.7,All-wheel Drive,22,33,Gasoline,9-Speed Automatic,2.0L I4 16V GDI DOHC Turbo,55SWF8EB9KU283759,B2652A,45302
2019,Toyota,Highlander XLE,Used,"$38,998 ",4.6,363,Dealer,Walser Toyota,4.6,1179,4401 American Blvd W Minneapolis,MN,55437,Great,4.8,4.7,4.6,4.5,4.7,4.6,All-wheel Drive,20,26,Gasoline,Automatic,Regular Unleaded V-6 3.5 L/211,5TDJZRFHXKS711653,3BK067A,28695
2017,GMC,Acadia Limited Limited,Used,"$24,997 ",4.7,61,Dealer,North Imports,4.5,15,1705 Highway 13 East Burnsville,MN,55337,Great,4.9,4.8,4.7,4.5,4.8,4.7,All-wheel Drive,15,22,Gasoline,Automatic 6-Speed,V6 Cylinder Engine,1GKKVSKD6HJ263898,3898,38708
2018,Toyota,RAV4 Limited,Used,"$33,675 ",4.8,770,Dealer,Luther Westside VW,4.7,5158,2370 Highway 100 S Minneapolis,MN,55416,Good,4.8,4.7,4.8,4.7,4.8,4.9,All-wheel Drive,22,28,Gasoline,6-Speed Automatic,2.5L I4 16V MPFI DOHC,JTMDFREV4JD251347,P30584A,45263
